,trainingid,firstname,lastname,ssn,sex,dob,race,ethnicity
0,cea531fc-8ad9-11e8-a1c7-0242ac110003,Beverly,Amelung,724-62-2327,,1964-08-01,other,
1,cd7e18d4-8ad9-11e8-a1c7-0242ac110003,,Tetreault,,M,1996-11-07,asian,
2,ce444fae-8ad9-11e8-a1c7-0242ac110003,Bill,Vitullo,,M,1947-08-05,white,nonhispanic
3,cf48856e-8ad9-11e8-a1c7-0242ac110003,Fermin,Morris,463-27-7831,F,2006-02-27,other,
4,cdc93e40-8ad9-11e8-a1c7-0242ac110003,Elizabeth,Howard,710-65-2128,,2004-01-12,other,nonhispanic
5,cf151c88-8ad9-11e8-a1c7-0242ac110003,Wendy,Boggs,,,1994-05-03,,
6,cdbfbd16-8ad9-11e8-a1c7-0242ac110003,Sean,,522-71-5187,M,,white,
7,cf7ec3d6-8ad9-11e8-a1c7-0242ac110003,Joseph,Collins,,,,asian,donotdisclose
8,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cheryl,Valencia,,M,1990-10-28,,
9,cf0f8746-8ad9-11e8-a1c7-0242ac110003,George,Green,,M,,,
10,ce5be146-8ad9-11e8-a1c7-0242ac110003,Micfael,Elliott,104-43-8232,,,other,nonhispanic
11,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cheryl,Valencia,,F,,,
12,cf5c608e-8ad9-11e8-a1c7-0242ac110003,Ward,Harris,786-37-2314,M,1967-08-07,white,hispanic
13,cf864778-8ad9-11e8-a1c7-0242ac110003,Ethan,Welter,,M,1990-12-22,,
14,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cherrl,Valencia,000-42-4577,F,1990-10-28,,donotdisclose
15,cf00f622-8ad9-11e8-a1c7-0242ac110003,Walter,Kennedy,,,2007-03-18,other,nonhispanic
16,cf2ceec6-8ad9-11e8-a1c7-0242ac110003,Rizky,Meissner,,M,1998-02-05,,hispanic
17,cf72f36c-8ad9-11e8-a1c7-0242ac110003,,Beacom,,,1938-11-22,white,
18,ced1652e-8ad9-11e8-a1c7-0242ac110003,Mitzi,Mcrae,412-01-2637,,1932-09-21,white,hispanic
19,ce346ad0-8ad9-11e8-a1c7-0242ac110003,Carmela,Medina,452-41-1877,,,,hispanic
20,ce784020-8ad9-11e8-a1c7-0242ac110003,Aurora,,813-20-8170,M,,,hispanic
21,cec5d9ac-8ad9-11e8-a1c7-0242ac110003,Cynthia,James,,M,,other,
22,ce2f05f4-8ad9-11e8-a1c7-0242ac110003,Marisol,Russo,356-02-6714,,1937-11-22,,nonhispanic
23,cea1fb54-8ad9-11e8-a1c7-0242ac110003,Rhonda,,,M,1996-08-23,amindian,
24,cde25de4-8ad9-11e8-a1c7-0242ac110003,,Corcoran,713-44-1253,M,1988-09-03,other,
25,cdd652b0-8ad9-11e8-a1c7-0242ac110003,Alfred,Albritton,666-41-8271,M,1964-05-18,other,donotdisclose
26,cdf92b00-8ad9-11e8-a1c7-0242ac110003,Ricardo,Sorensen,,M,,,
27,cd85937a-8ad9-11e8-a1c7-0242ac110003,Waltraud,Mullins,321-67-2525,F,1970-10-07,white,nonhispanic
28,ce8d880e-8ad9-11e8-a1c7-0242ac110003,John,,,M,,white,
29,cdb1f9a6-8ad9-11e8-a1c7-0242ac110003,Scarlet,Cooley,,M,1961-04-10,othzr,nonhispanic
30,ce581b10-8ad9-11e8-a1c7-0242ac110003,Joshua,Walters,,,,,
31,cd9c4cbe-8ad9-11e8-a1c7-0242ac110003,Ebony,Reed,,M,1953-01-21,white,hispanic
32,cec82158-8ad9-11e8-a1c7-0242ac110003,Jason,Boaen,,F,,white,hispanic
33,ce8d880e-8ad9-11e8-a1c7-0242ac110003,John,Townsend,,,,white,
34,cd8e69c8-8ad9-11e8-a1c7-0242ac110003,Grant,Adkins,126-00-0571,F,,other,
35,cf00f622-8ad9-11e8-a1c7-0242ac110003,Walter,Kennedy,822-23-6107,,2007-03-18,other,nonhispanic
36,cec82158-8ad9-11e8-a1c7-0242ac110003,Jason,Boden,,E,,white,
37,cddb3230-8ad9-11e8-a1c7-0242ac110003,Lois,Wolf,685-54-2376,,1954-05-09,,
38,cd9c4cbe-8ad9-11e8-a1c7-0242ac110003,Ebony,,,,1953-04-21,,
39,cf5c608e-8ad9-11e8-a1c7-0242ac110003,Ward,Harris,786-37-2314,,1967-08-07,white,hispanic
40,cdf56cc2-8ad9-11e8-a1c7-0242ac110003,,Richmond,724-17-1202,,1999-07-23,,nonhispanic
41,cf2334d0-8ad9-11e8-a1c7-0242ac110003,Ann,Gibson,,F,1968-03-17,,nonhispanic
42,ced97d40-8ad9-11e8-a1c7-0242ac110003,Eduardo,,625-30-5678,,1999-12-12,,donotdisclose
43,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,,Valencia,,F,1990-10-28,white,
44,ce02f2ca-8ad9-11e8-a1c7-0242ac110003,Maile,Daugherty,,M,1956-01-20,asian,hispanic
45,cdc93e40-8ad9-11e8-a1c7-0242ac110003,Elizabeth,Howard,,F,,othar,
46,ce1e4a66-8ad9-11e8-a1c7-0242ac110003,Tara,Miner,115-52-4304,M,1973-08-13,other,donotdisclose
47,cdb5caea-8ad9-11e8-a1c7-0242ac110003,Eric,Howard,,,,other,donotdisclose
48,cee6731a-8ad9-11e8-a1c7-0242ac110003,Tiffany,Richardson,,F,1979-04-20,white,hispanic
49,ce50b0dc-8ad9-11e8-a1c7-0242ac110003,Richard,Lewis,654-82-6357,,1948-11-17,white,nonhispanic
50,cf2334d0-8ad9-11e8-a1c7-0242ac110003,Ann,Gibson,323-10-6330,F,1968-03-17,white,
51,cd85937a-8ad9-11e8-a1c7-0242ac110003,Waltraud,Mullins,321-67-2525,F,,white,nonhispanic
52,cf931b7e-8ad9-11e8-a1c7-0242ac110003,Jos,Culpepper,367-78-8786,F,,white,
53,cf00f622-8ad9-11e8-a1c7-0242ac110003,,Kennedy,,F,2007-03-18,asian,
54,cd921780-8ad9-11e8-a1c7-0242ac110003,Michael,Gillespie,032-56-5754,F,,black,
55,cf2ceec6-8ad9-11e8-a1c7-0242ac110003,Ecic,Meissner,244-35-0641,,1998-02-05,white,hispanic
56,cde25de4-8ad9-11e8-a1c7-0242ac110003,Lorry,Corcjran,,M,,other,
57,cf00f622-8ad9-11e8-a1c7-0242ac110003,,Kennedy,722-27-6107,F,,,
58,cd73e670-8ad9-11e8-a1c7-0242ac110003,Kenneth,Keogh,,F,1957-06-01,,hispanic
59,cf2ceec6-8ad9-11e8-a1c7-0242ac110003,Eric,Meissner,244-35-0641,M,,white,hispanic
60,cf689b2e-8ad9-11e8-a1c7-0242ac110003,Tami,Reed,,,1992-05-31,white,
61,cd85937a-8ad9-11e8-a1c7-0242ac110003,Waltraud,Mullins,321-67-2525,F,,,nonhispanic
62,cdb5caea-8ad9-11e8-a1c7-0242ac110003,Rick,,276-23-6305,M,,,
63,ce784020-8ad9-11e8-a1c7-0242ac110003,Aurora,Young,813-20-8170,,1948-01-20,other,donotdisclose
64,cf833812-8ad9-11e8-a1c7-0242ac110003,Patricia,Morgan,467-23-8283,,,,
65,cf00f622-8ad9-11e8-a1c7-0242ac110003,Wally,Kennedy,,,2007-03-18,,
66,ce3b6a24-8ad9-11e8-a1c7-0242ac110003,Laura,,,F,,,
67,cf5c608e-8ad9-11e8-a1c7-0242ac110003,Ward,Harris,,,1967-08-07,,hispanic
68,cec82158-8ad9-11e8-a1c7-0242ac110003,Jason,Boden,584-05-7440,F,,,hispanic
69,cf19bfb8-8ad9-11e8-a1c7-0242ac110003,Edna,Nugent,354-06-7232,M,1971-07-20,,
70,cdb5caea-8ad9-11e8-a1c7-0242ac110003,Eric,,272-23-6305,,,,donotdisclose
71,cf0f8746-8ad9-11e8-a1c7-0242ac110003,George,Green,210-18-6218,M,,other,donotdisclose
72,cf5c608e-8ad9-11e8-a1c7-0242ac110003,Warb,Harris,786-37-2314,,,,
73,ce444fae-8ad9-11e8-a1c7-0242ac110003,Bill,Vitullo,547-88-5446,M,,,
74,ce581b10-8ad9-11e8-a1c7-0242ac110003,Joshua,Walters,812-41-2258,M,1921-12-24,,
75,cec82158-8ad9-11e8-a1c7-0242ac110003,Jasmn,Boden,,F,,,
76,cdaa8978-8ad9-11e8-a1c7-0242ac110003,Rebecca,Munoz,,,,white,
77,cf2ceec6-8ad9-11e8-a1c7-0242ac110003,Xric,Meissner,244-35-0641,M,,,hispanic
78,ce444fae-8ad9-11e8-a1c7-0242ac110003,Bill,Vitullo,,,,,
79,ce108246-8ad9-11e8-a1c7-0242ac110003,Araceli,Prottsman,486-88-3874,,1933-11-22,other,donotdisclose
80,cf72f36c-8ad9-11e8-a1c7-0242ac110003,Gregory,,158-15-8181,F,,white,
81,cf96580c-8ad9-11e8-a1c7-0242ac110003,Nathan,Harvey,717-81-5578,M,,,
82,ce50b0dc-8ad9-11e8-a1c7-0242ac110003,Richard,Lewis,654-82-6357,F,,white,
83,cd9c4cbe-8ad9-11e8-a1c7-0242ac110003,Ebony,Reed,,M,1953-04-21,,donotdisclose
84,ce4ba038-8ad9-11e8-a1c7-0242ac110003,John,Burgoyne,,F,1955-06-30,,
85,cd6ac798-8ad9-11e8-a1c7-0242ac110003,Anthony,Chalfant,732-87-3613,,,white,
86,cf0995d4-8ad9-11e8-a1c7-0242ac110003,,Kincade,563-25-2551,,,white,nonhispanic
87,cd85937a-8ad9-11e8-a1c7-0242ac110003,Waltraud,Mullins,,,1970-10-07,whije,nonhispanic
88,cf0f8746-8ad9-11e8-a1c7-0242ac110003,George,Green,,M,,,donotdisclose
89,cdd10026-8ad9-11e8-a1c7-0242ac110003,Dorothy,Barbieri,,,,,hispanic
90,cdc93e40-8ad9-11e8-a1c7-0242ac110003,Elizabeth,Howard,,F,2004-01-12,,nonhispanic
91,cf833812-8ad9-11e8-a1c7-0242ac110003,Patrmcia,Norgan,467-23-8283,F,,,
92,cf5c608e-8ad9-11e8-a1c7-0242ac110003,Ward,Harris,786-37-2314,M,,white,
93,cf864778-8ad9-11e8-a1c7-0242ac110003,Ethan,Welter,,,1990-12-22,white,hispanic
94,cf96580c-8ad9-11e8-a1c7-0242ac110003,Vathan,Hervey,717-81-5598,,1981-02-16,black,
95,cf689b2e-8ad9-11e8-a1c7-0242ac110003,Tami,Reed,,,,,donotdisclose
96,cd9c4cbe-8ad9-11e8-a1c7-0242ac110003,Ebony,Reed,813-81-6503,M,,,donotdisclose
97,cf2334d0-8ad9-11e8-a1c7-0242ac110003,Ann,Gibson,,F,1968-03-17,white,
98,cdc22e48-8ad9-11e8-a1c7-0242ac110003,Yolanda,Tunstall,565-85-2758,,2006-10-01,,
99,cd6ac798-8ad9-11e8-a1c7-0242ac110003,Anthony,Chalfanh,732-87-3613,M,1980-07-23,white,
100,ce50b0dc-8ad9-11e8-a1c7-0242ac110003,Richard,Lewis,654-82-6357,F,,,
101,cddb3230-8ad9-11e8-a1c7-0242ac110003,Lois,Wolf,685-54-2376,F,,white,
102,ceee28bc-8ad9-11e8-a1c7-0242ac110003,,Vaughan,805-86-3540,M,1959-08-05,other,
