,trainingid,firstname,lastname,ssn,sex,dob,race,ethnicity
0,cea531fc-8ad9-11e8-a1c7-0242ac110003,Beverly,Amelung,724-62-2327,,1964-08-01,other,
1,cd7e18d4-8ad9-11e8-a1c7-0242ac110003,,Tetreault,,M,1996-11-07,asian,
2,ce444fae-8ad9-11e8-a1c7-0242ac110003,Bill,Vitullo,,M,1947-08-05,white,nonhispanic
3,cf48856e-8ad9-11e8-a1c7-0242ac110003,Fermin,Morris,463-27-7831,F,2006-02-27,other,
4,cdc93e40-8ad9-11e8-a1c7-0242ac110003,Elizabeth,Howard,710-65-2128,,2004-01-12,other,nonhispanic
5,cf151c88-8ad9-11e8-a1c7-0242ac110003,Wendy,Boggs,,,1994-05-03,,
6,cdbfbd16-8ad9-11e8-a1c7-0242ac110003,Sean,,522-71-5187,M,,white,
7,cf7ec3d6-8ad9-11e8-a1c7-0242ac110003,Joseph,Collins,,,,asian,donotdisclose
8,ceaf2d1a-8ad9-11e8-a1c7-0242ac110003,Cheryl,Valencia,,M,1990-10-28,,
9,cf0f8746-8ad9-11e8-a1c7-0242ac110003,George,Green,,M,,,
10,ce5be146-8ad9-11e8-a1c7-0242ac110003,Micfael,Elliott,104-43-8232,,,other,nonhispanic
